YEAR,MONTH/DAY,NORMAL HEART RATE,DATE,WEEKDAY
2022,01/22,50,2022/01/22,Saturday
2022,01/23,47,2022/01/23,Sunday
2022,01/24,44,2022/01/24,Monday
2022,01/25,47,2022/01/25,Tuesday
2022,01/26,45,2022/01/26,Wednesday
2022,01/27,49,2022/01/27,Thursday
2022,01/28,47,2022/01/28,Friday
2022,01/29,46,2022/01/29,Saturday
2022,01/31,49,2022/01/31,Monday
2022,02/01,52,2022/02/01,Tuesday
2022,02/02,47,2022/02/02,Wednesday
2022,02/03,51,2022/02/03,Thursday
2022,02/04,47,2022/02/04,Friday
2022,02/05,46,2022/02/05,Saturday
2022,02/06,44,2022/02/06,Sunday
2022,02/07,47,2022/02/07,Monday
2022,02/08,46,2022/02/08,Tuesday
2022,02/09,48,2022/02/09,Wednesday
2022,02/10,47,2022/02/10,Thursday
2022,02/11,46,2022/02/11,Friday
2022,02/12,48,2022/02/12,Saturday
2022,02/13,45,2022/02/13,Sunday
2022,02/14,46,2022/02/14,Monday
2022,02/15,52,2022/02/15,Tuesday
2022,02/16,44,2022/02/16,Wednesday
2022,02/17,48,2022/02/17,Thursday
2022,02/18,49,2022/02/18,Friday
2022,02/19,52,2022/02/19,Saturday
2022,02/20,51,2022/02/20,Sunday
2022,02/21,45,2022/02/21,Monday
2022,02/22,48,2022/02/22,Tuesday
2022,02/23,49,2022/02/23,Wednesday
2022,02/24,51,2022/02/24,Thursday
2022,02/25,46,2022/02/25,Friday
2022,02/26,48,2022/02/26,Saturday
2022,02/27,49,2022/02/27,Sunday
2022,02/28,42,2022/02/28,Monday
2022,03/01,50,2022/03/01,Tuesday
2022,03/02,48,2022/03/02,Wednesday
2022,03/03,53,2022/03/03,Thursday
2022,03/04,50,2022/03/04,Friday
2022,03/05,54,2022/03/05,Saturday
2022,03/06,62,2022/03/06,Sunday
2022,03/07,45,2022/03/07,Monday
2022,03/08,43,2022/03/08,Tuesday
2022,03/09,49,2022/03/09,Wednesday
2022,03/10,49,2022/03/10,Thursday
2022,03/11,54,2022/03/11,Friday
2022,03/12,49,2022/03/12,Saturday
2022,03/13,54,2022/03/13,Sunday
2022,03/14,48,2022/03/14,Monday
2022,03/15,48,2022/03/15,Tuesday
2022,03/16,44,2022/03/16,Wednesday
2022,03/17,54,2022/03/17,Thursday
2022,03/18,48,2022/03/18,Friday
2022,03/19,53,2022/03/19,Saturday
2022,03/20,52,2022/03/20,Sunday
2022,03/23,45,2022/03/23,Wednesday
2022,03/24,44,2022/03/24,Thursday
2022,03/25,47,2022/03/25,Friday
2022,03/26,45,2022/03/26,Saturday
2022,03/27,46,2022/03/27,Sunday
2022,03/29,48,2022/03/29,Tuesday
2022,03/30,50,2022/03/30,Wednesday
2022,03/31,41,2022/03/31,Thursday
2022,04/01,41,2022/04/01,Friday
2022,04/02,52,2022/04/02,Saturday
2022,04/04,44,2022/04/04,Monday
2022,04/05,41,2022/04/05,Tuesday
2022,04/06,43,2022/04/06,Wednesday
2022,04/07,42,2022/04/07,Thursday
2022,04/08,48,2022/04/08,Friday
2022,04/09,51,2022/04/09,Saturday
2022,04/11,46,2022/04/11,Monday
2022,04/12,43,2022/04/12,Tuesday
2022,04/13,45,2022/04/13,Wednesday
2022,04/15,53,2022/04/15,Friday
2022,04/16,52,2022/04/16,Saturday
2022,04/17,53,2022/04/17,Sunday
2022,04/18,48,2022/04/18,Monday
2022,04/19,44,2022/04/19,Tuesday
2022,04/20,48,2022/04/20,Wednesday
2022,04/21,53,2022/04/21,Thursday
2022,04/22,48,2022/04/22,Friday
2022,04/23,50,2022/04/23,Saturday
2022,04/24,49,2022/04/24,Sunday
2022,04/25,45,2022/04/25,Monday
2022,04/26,41,2022/04/26,Tuesday
2022,04/27,47,2022/04/27,Wednesday
2022,04/28,47,2022/04/28,Thursday
2022,04/29,51,2022/04/29,Friday
2022,04/30,59,2022/04/30,Saturday
2022,05/01,54,2022/05/01,Sunday
2022,05/02,48,2022/05/02,Monday
2022,05/03,53,2022/05/03,Tuesday
2022,05/04,48,2022/05/04,Wednesday
2022,05/05,46,2022/05/05,Thursday
2022,05/15,52,2022/05/15,Sunday
2022,05/16,54,2022/05/16,Monday
2022,05/17,47,2022/05/17,Tuesday
2022,05/18,45,2022/05/18,Wednesday
2022,05/20,52,2022/05/20,Friday
2022,05/21,51,2022/05/21,Saturday
2022,05/26,48,2022/05/26,Thursday
2022,06/02,52,2022/06/02,Thursday
2022,06/03,45,2022/06/03,Friday
2022,06/04,52,2022/06/04,Saturday
2022,06/08,55,2022/06/08,Wednesday
2022,06/09,48,2022/06/09,Thursday
2022,06/10,51,2022/06/10,Friday
2022,06/11,58,2022/06/11,Saturday
2022,06/13,51,2022/06/13,Monday
2022,06/17,50,2022/06/17,Friday
2022,06/18,57,2022/06/18,Saturday
2022,06/19,44,2022/06/19,Sunday
2022,06/20,43,2022/06/20,Monday
2022,06/21,54,2022/06/21,Tuesday
2022,06/22,47,2022/06/22,Wednesday
2022,06/29,55,2022/06/29,Wednesday
2022,06/30,43,2022/06/30,Thursday
2022,07/01,44,2022/07/01,Friday
2022,07/02,51,2022/07/02,Saturday
2022,07/03,54,2022/07/03,Sunday
2022,07/04,42,2022/07/04,Monday
2022,07/05,43,2022/07/05,Tuesday
2022,07/06,41,2022/07/06,Wednesday
2022,07/07,48,2022/07/07,Thursday
2022,07/08,47,2022/07/08,Friday
2022,07/09,48,2022/07/09,Saturday
2022,07/10,48,2022/07/10,Sunday
2022,07/11,45,2022/07/11,Monday
2022,07/12,44,2022/07/12,Tuesday
2022,07/13,49,2022/07/13,Wednesday
2022,07/14,43,2022/07/14,Thursday
2022,07/15,49,2022/07/15,Friday
2022,07/16,50,2022/07/16,Saturday
2022,07/17,47,2022/07/17,Sunday
2022,07/18,41,2022/07/18,Monday
2022,07/19,43,2022/07/19,Tuesday
2022,07/21,52,2022/07/21,Thursday
2022,07/22,51,2022/07/22,Friday
2022,07/23,52,2022/07/23,Saturday
2022,07/24,54,2022/07/24,Sunday
2022,07/25,44,2022/07/25,Monday
2022,07/26,42,2022/07/26,Tuesday
2022,07/27,47,2022/07/27,Wednesday
2022,07/28,45,2022/07/28,Thursday
2022,07/29,51,2022/07/29,Friday
2022,07/30,50,2022/07/30,Saturday
2022,07/31,51,2022/07/31,Sunday
2022,08/01,38,2022/08/01,Monday
2022,08/02,42,2022/08/02,Tuesday
2022,08/03,50,2022/08/03,Wednesday
2022,08/04,47,2022/08/04,Thursday
2022,08/05,44,2022/08/05,Friday
2022,08/06,49,2022/08/06,Saturday
2022,08/07,49,2022/08/07,Sunday
2022,08/08,40,2022/08/08,Monday
2022,08/09,51,2022/08/09,Tuesday
2022,08/10,40,2022/08/10,Wednesday
2022,08/11,50,2022/08/11,Thursday
2022,08/12,52,2022/08/12,Friday
2022,08/13,50,2022/08/13,Saturday
2022,08/14,44,2022/08/14,Sunday
2022,08/15,43,2022/08/15,Monday
2022,08/16,41,2022/08/16,Tuesday
2022,08/17,51,2022/08/17,Wednesday
2022,08/18,40,2022/08/18,Thursday
2022,08/19,40,2022/08/19,Friday
2022,08/20,47,2022/08/20,Saturday
2022,08/21,51,2022/08/21,Sunday
2022,08/22,45,2022/08/22,Monday
2022,08/23,59,2022/08/23,Tuesday
2022,08/24,44,2022/08/24,Wednesday
2022,08/25,45,2022/08/25,Thursday
2022,08/26,48,2022/08/26,Friday
2022,08/27,52,2022/08/27,Saturday
2022,08/28,53,2022/08/28,Sunday
2022,08/29,42,2022/08/29,Monday
2022,08/30,51,2022/08/30,Tuesday
2022,08/31,56,2022/08/31,Wednesday
2022,09/01,41,2022/09/01,Thursday
2022,09/02,45,2022/09/02,Friday
2022,10/09,48,2022/10/09,Sunday
2022,10/10,54,2022/10/10,Monday
2022,10/11,60,2022/10/11,Tuesday
2022,10/12,43,2022/10/12,Wednesday
2022,10/13,45,2022/10/13,Thursday
2022,10/14,46,2022/10/14,Friday
2022,10/15,47,2022/10/15,Saturday
2022,10/16,53,2022/10/16,Sunday
2022,10/17,48,2022/10/17,Monday
2022,10/18,45,2022/10/18,Tuesday
2022,10/19,48,2022/10/19,Wednesday
2022,10/20,40,2022/10/20,Thursday
2022,10/21,46,2022/10/21,Friday
2022,10/22,52,2022/10/22,Saturday
2022,10/23,50,2022/10/23,Sunday
2022,10/24,48,2022/10/24,Monday
2022,10/25,47,2022/10/25,Tuesday
2022,10/26,43,2022/10/26,Wednesday
2022,10/27,51,2022/10/27,Thursday
2022,10/28,49,2022/10/28,Friday
2022,10/29,45,2022/10/29,Saturday
2022,10/30,44,2022/10/30,Sunday
2022,10/31,52,2022/10/31,Monday
2022,11/01,51,2022/11/01,Tuesday
2022,11/02,44,2022/11/02,Wednesday
2022,11/03,38,2022/11/03,Thursday
2022,11/04,45,2022/11/04,Friday
2022,11/05,49,2022/11/05,Saturday
2022,11/06,51,2022/11/06,Sunday
2022,11/07,52,2022/11/07,Monday
2022,11/08,42,2022/11/08,Tuesday
2022,11/09,49,2022/11/09,Wednesday
2022,11/10,45,2022/11/10,Thursday
2022,11/11,43,2022/11/11,Friday
2022,11/12,50,2022/11/12,Saturday
2022,11/13,49,2022/11/13,Sunday
2022,11/14,50,2022/11/14,Monday
2022,11/15,52,2022/11/15,Tuesday
2022,11/16,52,2022/11/16,Wednesday
2022,11/17,40,2022/11/17,Thursday
2022,11/18,48,2022/11/18,Friday
2022,11/19,50,2022/11/19,Saturday
2022,11/20,43,2022/11/20,Sunday
2022,11/21,43,2022/11/21,Monday
2022,11/22,42,2022/11/22,Tuesday
